@relation Sax_prediction-2011-06-30T15:40:59-06:00-weka.filters.unsupervised.attribute.Remove-R1

@attribute n_term numeric
@attribute c_term numeric
@attribute y_num numeric
@attribute c_num numeric
@attribute k_num numeric
@attribute h_num numeric
@attribute r_num numeric
@attribute d_num numeric
@attribute e_num numeric
@attribute u_num numeric
@attribute polar_num numeric
@attribute hydrophobic_num numeric
@attribute pi numeric
@attribute charge_at_2.0 numeric
@attribute charge_at_2.5 numeric
@attribute charge_at_3.0 numeric
@attribute charge_at_3.5 numeric
@attribute charge_at_4.0 numeric
@attribute charge_at_4.5 numeric
@attribute charge_at_5.0 numeric
@attribute charge_at_5.5 numeric
@attribute charge_at_6.0 numeric
@attribute charge_at_6.5 numeric
@attribute charge_at_7.0 numeric
@attribute charge_at_7.5 numeric
@attribute charge_at_8.0 numeric
@attribute charge_at_8.5 numeric
@attribute charge_at_9.0 numeric
@attribute charge_at_9.5 numeric
@attribute charge_at_10.0 numeric
@attribute charge_at_10.5 numeric
@attribute charge_at_11.0 numeric
@attribute charge_at_11.5 numeric
@attribute charge_at_12.0 numeric
@attribute fraction numeric

@data
1.96,9.15,1,1,0,0,1,0,0,0,3,5,8.624756,1.47699,1.223843,1.083571,1.028008,1.008964,1.002642,1.000172,0.997953,0.992735,0.97706,0.930151,0.802589,0.527572,0.114463,-0.361811,-0.858679,-1.324412,-1.691951,-1.911475,-2.054039,-2.235585,5
1.96,8.95,0,2,1,0,0,1,0,0,2,5,5.749023,1.455092,1.157727,0.900643,0.613485,0.317658,0.126192,0.042234,0.009683,-0.009739,-0.04312,-0.134885,-0.380698,-0.899463,-1.623726,-2.294494,-2.774134,-3.116219,-3.445799,-3.735057,-3.899451,-3.966033,5
2.34,9.04,1,0,0,0,2,0,0,0,4,4,11.136963,2.6863,2.408924,2.179504,2.064703,2.021399,2.006839,2.002083,2.000376,1.999222,1.996922,1.990127,1.96927,1.907918,1.749736,1.44391,1.043299,0.632421,0.283676,0.05188,-0.150297,-0.484811,5
2.28,8.95,0,0,1,0,2,0,1,0,2,4,11.344971,3.650228,3.358526,3.106808,2.905848,2.658752,2.365888,2.152766,2.053478,2.016512,2.002021,1.990397,1.965349,1.896288,1.72871,1.441939,1.132425,0.847362,0.523949,0.197817,-0.089983,-0.463854,5
2.19,8.95,0,0,3,0,0,1,4,0,0,3,4.329102,3.563396,3.192757,2.738227,2.028268,0.884264,-0.431654,-1.351898,-1.773004,-1.926719,-1.979988,-2.004418,-2.034668,-2.108953,-2.28939,-2.614673,-3.036183,-3.601775,-4.420799,-5.231904,-5.706845,-5.900788,5
2.18,8.95,0,0,3,0,0,0,2,0,2,4,9.461182,3.590974,3.288754,3.024977,2.743714,2.295028,1.724595,1.303349,1.106576,1.033886,1.007416,0.991585,0.964066,0.890647,0.710483,0.385287,-0.036196,-0.601779,-1.4208,-2.231905,-2.706845,-2.900788,5
1.82,8.95,0,0,1,1,0,1,1,0,2,5,5.18457,2.370253,2.088919,1.824813,1.451829,0.94548,0.455101,0.103374,-0.173239,-0.479165,-0.756352,-0.918253,-1.003839,-1.093701,-1.267914,-1.556395,-1.865166,-2.145937,-2.455294,-2.738069,-2.900405,-2.966335,5
1.82,8.95,0,0,1,1,0,1,1,0,2,5,5.18457,2.370253,2.088919,1.824813,1.451829,0.94548,0.455101,0.103374,-0.173239,-0.479165,-0.756352,-0.918253,-1.003839,-1.093701,-1.267914,-1.556395,-1.865166,-2.145937,-2.455294,-2.738069,-2.900405,-2.966335,5
1.82,8.95,0,0,1,1,0,1,1,0,2,5,5.18457,2.370253,2.088919,1.824813,1.451829,0.94548,0.455101,0.103374,-0.173239,-0.479165,-0.756352,-0.918253,-1.003839,-1.093701,-1.267914,-1.556395,-1.865166,-2.145937,-2.455294,-2.738069,-2.900405,-2.966335,5
2.11,9.04,0,0,1,0,3,0,0,0,4,5,12.784912,4.562985,4.28946,4.114122,4.03914,4.012709,4.004027,4.001192,4.000109,3.999187,3.997069,3.99067,3.971008,3.913381,3.766595,3.493351,3.168967,2.861041,2.519686,2.167778,1.815875,1.287592,5
